"latitud","longitud"
"53.33907240760599","-6.261462512241038"
"53.348334615088625","-6.2292225832949555"
"53.32629377700916","-6.25609731297686"
"53.34925306792829","-6.243392141390135"
"53.33078208639935","-6.258474842198517"
"53.34884753021033","-6.237189851548326"
"53.33328687028244","-6.262743362271439"
"53.34955464758222","-6.247594340877422"
"53.35076535382975","-6.250193233356581"
"53.34217738485817","-6.257960105666281"
"53.34535187234694","-6.258703759562828"
"53.349979384805756","-6.251512916534447"
"53.34633","-6.259043"
"53.34905360534818","-6.257747339540402"
"53.3308584582912","-6.259198384882569"
"53.348718","-6.259753"
"53.348646731846124","-6.258175439051697"
"53.320805807826886","-6.254682370533015"
"53.351437","-6.261082"
"53.353127","-6.260419"
"53.348518","-6.228583"
"53.35132","-6.2655244"
"53.34765353296187","-6.265562518681213"
"53.34686747304328","-6.27323949332429"
"53.31642614503827","-6.253437506690542"
"53.351913261768225","-6.248971195838131"
