"latitud","longitud"
"53.339531558804765","-6.237296700155354"
"53.333998520681305","-6.22883380734766"
"53.351913261768225","-6.248971195838131"
"53.34329860826152","-6.2482467361181975"
"53.346795071910215","-6.253919005393982"
"53.35107045940467","-6.239555552927532"
"53.35185281033829","-6.248577213589296"
"53.32048932773806","-6.21117578127791"
"53.353145","-6.24678699531749"
"53.34330751867266","-6.248334646224976"
"53.34321948782063","-6.248417323448127"
"53.343361605490514","-6.248317597772509"
"53.352781872625286","-6.247519279986348"
"53.352899206937415","-6.2476143528484105"
"53.35135517559769","-6.249035202557964"
"53.35242511071525","-6.247215307223172"
"53.34626827050906","-6.254790048957706"
"53.350615360653734","-6.252572536468506"
"53.35181188034349","-6.248653119142713"
"53.35183555895832","-6.248647916860994"
"53.35180349475409","-6.248767037029774"
"53.35239287248575","-6.247313202321647"
"53.35271459462343","-6.247598115241077"
"53.35267903568023","-6.2478212967006925"
"53.363245052303945","-6.258264717507976"
"53.35491225593472","-6.245162440913676"
"53.3301101","-6.271878000000015"
"53.3498","-6.197144"
"53.3562772398729","-6.242835746060604"
"53.36616292621406","-6.219100221801152"
"53.349566662951894","-6.251895679007995"
"53.3627845553809","-6.227605548780001"
"53.3627852811045","-6.227583837973582"
