"latitud","longitud"
"53.33989334728329","-6.237342953681946"
"53.34143774659449","-6.2310084439203415"
"53.34124869730543","-6.23946168195496"
"53.337864212177145","-6.240726695867945"
"53.341123249151835","-6.241607666015625"
"53.34410279542076","-6.233043119524635"
"53.339834391738776","-6.237133696332402"
"53.345297273177295","-6.235870364733072"
"53.344515757462865","-6.239744964718116"
"53.33611919240353","-6.244674651582154"
"53.33213197652096","-6.230106353759766"
"53.331867447654474","-6.230795860182626"
"53.34536519320416","-6.242439497569462"
"53.33292323332096","-6.243753433227539"
"53.34186629767482","-6.248227357864379"
"53.347719116809685","-6.241439142821454"
"53.336303","-6.24967"
"53.347917","-6.241354"
"53.33235389212359","-6.245637145031675"
"53.332503636428704","-6.24718537752928"
"53.34983403858358","-6.23248815536499"
"53.345732","-6.246221"
"53.34378791484709","-6.252379417419434"
"53.348559556279795","-6.246913075447082"
"53.34208541530647","-6.253985271975772"
"53.338069","-6.254884"
"53.349210089761264","-6.247680844827831"
"53.339527313774596","-6.257363625734478"
"53.34278766904076","-6.257803829055093"
"53.33172658096112","-6.256474274438375"
"53.34130249138193","-6.2620976484728565"
"53.34059478003897","-6.262495871633291"
"53.33389201362022","-6.261278111653285"
"53.334000652337835","-6.261790828891876"
"53.341557440161665","-6.262956372778334"
"53.335883108364115","-6.262764930725098"
"53.34478308508418","-6.263848692691444"
"53.350167370168506","-6.260343938878758"
"53.341372215717136","-6.267592369392149"
"53.34731576023995","-6.265530693493079"
"53.336726990397814","-6.274424861406845"
"53.339123749425454","-6.280141597431135"
