"latitud","longitud"
"53.348445865236656","-6.228475457226797"
"53.332519271367126","-6.243740895109762"
"53.33344497455802","-6.25400766350495"
"53.336677","-6.243111"
"53.34759138567366","-6.259555235697369"
"53.34565829989359","-6.240487465923314"
"53.33928722741872","-6.257499011187389"
"53.339486162676806","-6.265903301020082"
"53.35651551933903","-6.232208528054815"
"53.3500072764398","-6.259032756640429"
"53.349625663880396","-6.261583834801474"
"53.34910867703328","-6.247844980680384"
"53.344414517730876","-6.260942333680538"
"53.34609763685444","-6.2590715049579755"
"53.340872590889326","-6.261404940066735"
"53.331290175949356","-6.231812520793873"
"53.347545041348596","-6.263519888925701"
"53.33291828699825","-6.262602541394942"
"53.34616723569928","-6.2624767527437495"
"53.346162","-6.259136"
"53.347378","-6.255843"
"53.33766628921425","-6.267022682935"
"53.35822960386952","-6.226752961272358"
"53.34184504802176","-6.263727292940942"
"53.341974186416195","-6.257955002930548"
"53.34967913192385","-6.259834819120199"
"53.34746997409658","-6.278566141041983"
"53.330664","-6.278132"
"53.323352917660294","-6.265476655669059"
"53.35008256240835","-6.264009007752044"
"53.30464877188994","-6.219766810427861"
"53.32161722780597","-6.266315751082181"
"53.30224200442382","-6.179060910085332"
"53.289939683245194","-6.267722287892858"
"53.28648843363638","-6.240518848467153"
"53.27751684412258","-6.217148771473744"
"53.31593483215347","-6.317873965160244"
"53.289098662674235","-6.200354021526128"
"53.392696355098025","-6.248581048597774"
"53.38576975586781","-6.258275832941519"
"53.29376633719481","-6.134823513107181"
"53.28657637441447","-6.371427349708497"
