"latitud","longitud"
"53.47825152292783","-2.2431735157509998"
"53.474794724029714","-2.2505463298633837"
"53.48006534112137","-2.2365546226501465"
"53.482042296692335","-2.2389295927129322"
"53.47688226515209","-2.231104998328287"
"53.48488594531961","-2.2386509619825588"
"53.48639958190955","-2.2419924070761064"
"53.473525877806985","-2.2475722657346555"
"53.48763812917933","-2.241827674332703"
"53.4786629774397","-2.2335599794664516"
"53.47006749288128","-2.2674547504853635"
"53.48094773532845","-2.2199153326413454"
"53.484666185173104","-2.24051660316646"
"53.4825545535397","-2.2379120985750465"
"53.48528829292691","-2.238369028881238"
"53.477045197825205","-2.2307993361642997"
"53.48257338805531","-2.25804861148946"
"53.479408","-2.233361"
"53.48738164109159","-2.2425413131713867"
