"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Mount Temple Comprehensive School","53.369001419141696","-6.2218870955321455","Malahide Rd","Clontarf","Ireland","","Point","53.369001419141696","-6.2218870955321455"
"Infinity English College","53.340320386064406","-6.258845197106127","Dawson St","Dublin","Dublin City","Ireland","Point","53.340320386064406","-6.258845197106127"
"English Language Tutorial Academy (ELTA)","53.34742185077181","-6.2568783852833185","11 Burgh Quay","Dublin","Dublin City","Ireland","Point","53.34742185077181","-6.2568783852833185"
"The English Academy","53.34731604692676","-6.257371298901247","Ireland","","","","Point","53.34731604692676","-6.257371298901247"
"Trinity College","53.3441988069838","-6.257963465659788","College Green","Dublin","Dublin City","Ireland","Point","53.3441988069838","-6.257963465659788"
"EnglisHour📚","53.34868","-6.258832","Ireland","","","","Point","53.34868","-6.258832"
"ATC Language & Travel","53.34117679929994","-6.263448081615888","Ireland","","","","Point","53.34117679929994","-6.263448081615888"
"Smart-Edulink","53.3569","-6.25235","35 Summerstreet, Dublin 1","North City","Dublin City","Ireland","Point","53.3569","-6.25235"
"Emerald Cultural Institute","53.3138911518022","-6.259027989104673","10 Palmerston Pk","Dublin","Dublin City","Ireland","Point","53.3138911518022","-6.259027989104673"
"The International School of English  (ISE)","53.335702464327085","-6.263450035972092","26 Harcourt St","Dublin","Dublin City","Ireland","Point","53.335702464327085","-6.263450035972092"
"NCAD","53.34381777011789","-6.277887360243502","100 Thomas Street","Dublin","Dublin City","Ireland","Point","53.34381777011789","-6.277887360243502"
"the english academy","53.352331069985276","-6.260366722340645","Ireland","","","","Point","53.352331069985276","-6.260366722340645"
"Ec Dublin","53.32972","-6.264732","Dublin","Ireland","","","Point","53.32972","-6.264732"
"Griffith College Dublin","53.33148432559922","-6.278453647832611","S Circular Rd","Dublin","Dublin City","Ireland","Point","53.33148432559922","-6.278453647832611"
"ELA - English Language School : Build 2","53.35319103498161","-6.26498634386267","Ireland","","","","Point","53.35319103498161","-6.26498634386267"
"English Language Academy Ireland","53.35061022507205","-6.269550219033498","73 Capel St","Dublin","Dublin City","Ireland","Point","53.35061022507205","-6.269550219033498"
"Ibat College","53.355529","-6.26483","24-27 North Frederick Street","Dublin","Ireland","","Point","53.355529","-6.26483"
"Agni Acting Studio","53.344928033435224","-6.252529621124268","27 Pearse Street","Dublin","Dublin City","Ireland","Point","53.344928033435224","-6.252529621124268"
"Cooks Academy","53.34207211605773","-6.262996716315025","19 Sth WIlliam St","Dublin","Dublin City","Ireland","Point","53.34207211605773","-6.262996716315025"
"Waltons New School of Music","53.34272800292431","-6.264508017280357","69 Great Georges St","Dublin","Dublin City","Ireland","Point","53.34272800292431","-6.264508017280357"
