"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Whitefriars Childcare Ltd","53.340168","-6.2684054","1 Alexander Walk, Whitefriar Road, Dublin","Dublin","Dublin City","Ireland","Point","53.340168","-6.2684054"
"Whitefriars Childcare Ltd","53.3387449","-6.2760244","Newmarket Hall Saint Lukes Avenue, Cork Street, Dublin","Dublin","Dublin City","Ireland","Point","53.3387449","-6.2760244"
"Saoirsi","53.342309","-6.279179","92 Meeth str","Dublin","Dublin City","Ireland","Point","53.342309","-6.279179"
"Cuddles 'n Care Ltd","53.3643315","-6.2623168","1 St Patricks Parade,","Cabra - Drumcondra","Dublin City","Ireland","Point","53.3643315","-6.2623168"
