"name","latitud","longitud","formattedAddress__001","location__type","location__coordinates__001","location__coordinates__002","formattedAddress__002","formattedAddress__003"
"Casa Del Marino","28.137557299771746","-15.430063772122795","España","Point","28.137557299771746","-15.430063772122795","",""
"meideistudio","28.143821645402028","-15.425184100743017","Edificio Frisu I s/n","Point","28.143821645402028","-15.425184100743017","Las Palmas de Gran Canaria Canarias","España"
"The Agile Monkeys","28.107947603141668","-15.418088436126709","Buenos Aires 8, 4-B","Point","28.107947603141668","-15.418088436126709","35002 Las Palmas de Gran Canaria Canarias","España"
"TresW.Net","28.10438694401929","-15.452705128938527","Av. Felo Monzon 28, L8","Point","28.10438694401929","-15.452705128938527","35019 Las Palmas de Gran Canaria Canarias","España"
