"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"Platform 12","53.4771726094485","-2.2306877594737533","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.4771726094485","-2.2306877594737533"
"Platform 8","53.47727349075986","-2.2306683469022297","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47727349075986","-2.2306683469022297"
"Platform 6","53.47734788399981","-2.2305864854751962","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47734788399981","-2.2305864854751962"
"Platform 7","53.477231923356484","-2.230437847797808","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.477231923356484","-2.230437847797808"
"Manchester Piccadilly (MAN) to Leeds (LDS) Train","53.47665574418803","-2.228400707244873","Manchester Piccadilly Station (MAN)","Manchester","M60 7RA","United Kingdom","","Point","53.47665574418803","-2.228400707244873"
"Manchester Piccadilly (MAN) to Milford Haven (MFH) Train","53.47638514528302","-2.2276251802788076","Manchester Piccadilly (MAN) Train Station","United Kingdom","","","","Point","53.47638514528302","-2.2276251802788076"
"Manchester Victoria (MCV) to Leeds (LDS) Train","53.487031091562486","-2.24221938115042","Manchester Victoria railway station (MCV) (Victoria Station Approach)","Manchester","M3 1WY","United Kingdom","","Point","53.487031091562486","-2.24221938115042"
"Platform 5","53.48779800921066","-2.2428842766850727","Manchester Victoria Railway Station (MCV)","Manchester","Greater Manchester","M 4 4","United Kingdom","Point","53.48779800921066","-2.2428842766850727"
"Platform 6","53.48778993249328","-2.242456831180283","Manchester Victoria Railway Station (MCV)","Manchester","Greater Manchester","M3 1PB","United Kingdom","Point","53.48778993249328","-2.242456831180283"
"Platform 4","53.48780360829266","-2.242260383966721","Manchester Victoria Railway Station (MCV)","Manchester","M3 1PB","United Kingdom","","Point","53.48780360829266","-2.242260383966721"
"Platform 3","53.48789736036931","-2.242612772688218","Manchester Victoria","Manchester","Greater Manchester","United Kingdom","","Point","53.48789736036931","-2.242612772688218"
"Platform 3A","53.487958355648665","-2.243198973644389","Manchester Victoria Railway Station (MCV)","Manchester","Greater Manchester","M3 1WY","United Kingdom","Point","53.487958355648665","-2.243198973644389"
"Platform 1","53.487889693184144","-2.2418705726047894","Manchester Victoria Railway Station (MCV)","Manchester","Greater Manchester","M3 1PB","United Kingdom","Point","53.487889693184144","-2.2418705726047894"
"Platform  4A","53.487910180873946","-2.2419959292292035","Manchester Victoria Railway Staion","Manchester","Greater Manchester","United Kingdom","","Point","53.487910180873946","-2.2419959292292035"
"Platform 2","53.48793596617189","-2.241756328043271","Manchester Victoria Railway Station (MCV)","Manchester","M 4 4","United Kingdom","","Point","53.48793596617189","-2.241756328043271"
"Manchester Piccadilly (MAN) to Burnage (BNA) Train","53.47492140647313","-2.2220673806333022","Manchester Piccadilly Station (MAN)","Manchester","M60 7RA","United Kingdom","","Point","53.47492140647313","-2.2220673806333022"
"Mayfield Loop","53.474563","-2.221807837486267","Chapelfield Rd","Manchester","M1 2 6","United Kingdom","","Point","53.474563","-2.221807837486267"
