"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"Banana Moon Sale Day Nursery","53.4238478","-2.315897","39 Northenden Rd","Sale","Trafford","M33 2DH","United Kingdom","Point","53.4238478","-2.315897"
"Elm Cottage Day Nursery","53.41171251096442","-2.1818374836739003","United Kingdom","","","","","Point","53.41171251096442","-2.1818374836739003"
"Kewi Nursery","53.43598513385006","-2.3156135207382524","Trafford","United Kingdom","","","","Point","53.43598513385006","-2.3156135207382524"
"Nursery Inn","53.414908784042105","-2.1768321251980525","258 Green Lane","Heaton Norris","Stockport","SK4 2NA","United Kingdom","Point","53.414908784042105","-2.1768321251980525"
"The Nursery Tavern","53.37155523989851","-1.4888390293144653","276 Ecclesall Road","Sheffield","S11 8PE","United Kingdom","","Point","53.37155523989851","-1.4888390293144653"
