"name","latitud","longitud","formattedAddress","location__type","location__coordinates"
"St Stephen's Green Luas","53.33907240760599","-6.261462512241038","St Stephen's Green","Point","53.33907240760599"
"","","","Dublin","","-6.261462512241038"
"","","","Dublin City","",""
"","","","Ireland","",""
