"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Starbucks","53.348445865236656","-6.228475457226797","Unit 3/20 Point Village (North Wall Quay)","Dublin","Dublin City","Ireland","Point","53.348445865236656","-6.228475457226797"
"Starbucks","53.332519271367126","-6.243740895109762","St Martin's House, Waterloo Rd","Dublin","Dublin City","Ireland","Point","53.332519271367126","-6.243740895109762"
"Starbucks","53.33344497455802","-6.25400766350495","62 Lower Leeson St","Dublin","Dublin City","Ireland","Point","53.33344497455802","-6.25400766350495"
"Starbucks","53.336677","-6.243111","The Warrington House","Dublin","Ireland","","Point","53.336677","-6.243111"
"Starbucks","53.34759138567366","-6.259555235697369","56 O'Connell St","Dublin","Dublin City","Ireland","Point","53.34759138567366","-6.259555235697369"
"Starbucks","53.34565829989359","-6.240487465923314","4-5 Cardiff Ln","Dublin","Dublin City","Ireland","Point","53.34565829989359","-6.240487465923314"
"Starbucks","53.33928722741872","-6.257499011187389","St Stephen's Green N","Dublin","Dublin City","Ireland","Point","53.33928722741872","-6.257499011187389"
"Starbucks","53.339486162676806","-6.265903301020082","Aungier St","Dublin","Ireland","","Point","53.339486162676806","-6.265903301020082"
"Starbucks","53.35651551933903","-6.232208528054815","East Wall Rd","Dublin","Dublin City","Ireland","Point","53.35651551933903","-6.232208528054815"
"Starbucks","53.3500072764398","-6.259032756640429","8 N Earl St","Dublin","Dublin City","Ireland","Point","53.3500072764398","-6.259032756640429"
"Starbucks","53.349625663880396","-6.261583834801474","39 Henry St","Dublin","Dublin City","Ireland","Point","53.349625663880396","-6.261583834801474"
"Starbucks","53.34910867703328","-6.247844980680384","1 Custom House Quay (Unit 32-33)","Dublin","Dublin City","Ireland","Point","53.34910867703328","-6.247844980680384"
"Starbucks","53.344414517730876","-6.260942333680538","1 College Green","Dublin","Dublin City","Ireland","Point","53.344414517730876","-6.260942333680538"
"Starbucks","53.34609763685444","-6.2590715049579755","10-12 Westmoreland St","Dublin","Dublin City","Ireland","Point","53.34609763685444","-6.2590715049579755"
"Starbucks","53.340872590889326","-6.261404940066735","3 Chatham St","Dublin","Dublin City","Ireland","Point","53.340872590889326","-6.261404940066735"
"Starbucks","53.331290175949356","-6.231812520793873","Unit 2 The Oval, Shelbourne Rd","Dublin","Dublin City","Ireland","Point","53.331290175949356","-6.231812520793873"
"Starbucks","53.347545041348596","-6.263519888925701","22-23 Liffey Street Lower","Dublin","Dublin City","Ireland","Point","53.347545041348596","-6.263519888925701"
"Starbucks","53.33291828699825","-6.262602541394942","Unit 1 Harcourt Building, Harcourt St","Dublin","Dublin City","Ireland","Point","53.33291828699825","-6.262602541394942"
"Starbucks","53.34616723569928","-6.2624767527437495","1 - 3 Crampton Quay","Dublin 2","Ireland","","Point","53.34616723569928","-6.2624767527437495"
"Starbucks","53.346162","-6.259136","34 Westmoreland Street","Dublin","Dublin City","Ireland","Point","53.346162","-6.259136"
"Starbucks","53.347378","-6.255843","George's Quay","Dublin","Dublin City","Ireland","Point","53.347378","-6.255843"
"Starbucks","53.33766628921425","-6.267022682935","Kevin St Lower","Dublin","Dublin City","Ireland","Point","53.33766628921425","-6.267022682935"
"Starbucks","53.35822960386952","-6.226752961272358","Eastpoint Business Park","Dublin","Dublin City","Ireland","Point","53.35822960386952","-6.226752961272358"
"Starbucks","53.34184504802176","-6.263727292940942","56-58 Drury St","Dublin","Dublin City","Ireland","Point","53.34184504802176","-6.263727292940942"
"Starbucks","53.341974186416195","-6.257955002930548","51 Dawson St","Dublin","Dublin City","Ireland","Point","53.341974186416195","-6.257955002930548"
"Starbucks","53.34967913192385","-6.259834819120199","32 Lower O'Connell St","Dublin","Dublin City","Ireland","Point","53.34967913192385","-6.259834819120199"
"Starbucks","53.34746997409658","-6.278566141041983","18-21 Saint-Stephen's Green","Dublin","Dublin City","Ireland","Point","53.34746997409658","-6.278566141041983"
"Starbucks","53.330664","-6.278132","S Circular Rd","Dublin","Dublin City","Ireland","Point","53.330664","-6.278132"
"Starbucks","53.323352917660294","-6.265476655669059","224-228 Rathmines Rd Lower","Rathmines","Dublin City","Ireland","Point","53.323352917660294","-6.265476655669059"
"Starbucks","53.35008256240835","-6.264009007752044","Ilac Shopping Centre (Parnell St)","Dublin","Dublin City","Ireland","Point","53.35008256240835","-6.264009007752044"
"Starbucks","53.30464877188994","-6.219766810427861","Quinn School of Business, UCD","Dublin","Dublin City","Ireland","Point","53.30464877188994","-6.219766810427861"
"Starbucks","53.32161722780597","-6.266315751082181","1 Upper Rathmines Road","Dublin","Dublin City","Ireland","Point","53.32161722780597","-6.266315751082181"
"Starbucks","53.30224200442382","-6.179060910085332","Main St","Blackrock","Ireland","","Point","53.30224200442382","-6.179060910085332"
"Starbucks","53.289939683245194","-6.267722287892858","Unit F1, Nutgrove Shopping Centre","Rathmines","Dublin City","Ireland","Point","53.289939683245194","-6.267722287892858"
"Starbucks","53.28648843363638","-6.240518848467153","Dundrum Town Centre (Unit 17, Level 2)","Dublin","Dublin City","Ireland","Point","53.28648843363638","-6.240518848467153"
"Starbucks","53.27751684412258","-6.217148771473744","Unit B7 Beacon South Quarter","Dublin City","Dublin City","Ireland","Point","53.27751684412258","-6.217148771473744"
"Starbucks","53.31593483215347","-6.317873965160244","Ashleaf Shopping Centre","Crumlin","Ireland","","Point","53.31593483215347","-6.317873965160244"
