"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","location__type","location__coordinates__001","location__coordinates__002"
"Canterbury School","28.125151302102456","-15.432820688259586","c/Rubén Darío 4","35005 Las Palmas de Gran Canaria Canarias","España","Point","28.125151302102456","-15.432820688259586"
"I.E.S. Mesa y López","28.13112397749244","-15.439034030970575","Avenida José Mesa y López, 69","35010 Las Palmas de Gran Canaria Canarias","España","Point","28.13112397749244","-15.439034030970575"
"ies guanarteme","28.12689262569582","-15.441974637804375","Calle Pintor Guillermo","Las Palmas de Gran Canaria Canarias","España","Point","28.12689262569582","-15.441974637804375"
"Salesianos","28.122279","-15.428148","España","","","Point","28.122279","-15.428148"
"Colegio Claret Sección Rabadán","28.112231016213837","-15.42019588029513","Obispo Rabadán, 13","35003 Las Palmas de Gran Canaria Canarias","España","Point","28.112231016213837","-15.42019588029513"
"Centro de Estudios Lakota","28.1309143","-15.4427724","Calle Perú 37","35010 Las Palmas de Gran Canaria Canarias","España","Point","28.1309143","-15.4427724"
"IES Pérez Galdós","28.11061627510299","-15.4230397939682","Tomás Morales 37","35003 Las Palmas de Gran Canaria Canarias","España","Point","28.11061627510299","-15.4230397939682"
"IES Politecnico Las Palmas","28.11105787883535","-15.420682111047554","España","","","Point","28.11105787883535","-15.420682111047554"
"Center Of Rock","28.112944211313426","-15.426135063171387","c/ Santa Juana de Arco 28","35004 Las Palmas de Gran Canaria Canarias","España","Point","28.112944211313426","-15.426135063171387"
