"name","latitud","longitud","formattedAddress__001","location__type","location__coordinates__001","location__coordinates__002","formattedAddress__002","formattedAddress__003"
"Parada N22","28.132636926752557","-15.429829224394613","España","Point","28.132636926752557","-15.429829224394613","",""
"Global","28.10969698651173","-15.41717555992046","Estacion San Telmo","Point","28.10969698651173","-15.41717555992046","Las Palmas de Gran Canaria Canarias","España"
"060 - Aeropuerto LPGC","28.108735573322832","-15.415694020560615","España","Point","28.108735573322832","-15.415694020560615","",""
"Estación de guaguas de San Telmo","28.10874498919334","-15.415895078168937","Rafael Cabrera","Point","28.10874498919334","-15.415895078168937","35002 Las Palmas de Gran Canaria Canarias","España"
